id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
2b45cbee-3479-4fa2-89b9-1b06c70a0016	2023-01-12T04:34:35+00:00	1	beads	manual	fsc_small	pe						
2b45cbee-3479-4fa2-89b9-1b06c70a0016	2023-01-12T04:34:35+00:00	2	synecho	manual	fsc_small	pe						
2b45cbee-3479-4fa2-89b9-1b06c70a0016	2023-01-12T04:34:35+00:00	3	prochloro	manual	fsc_small	chl_small						
2b45cbee-3479-4fa2-89b9-1b06c70a0016	2023-01-12T04:34:35+00:00	4	picoeuk	manual	fsc_small	chl_small						
3c8e5127-03a5-4d9f-ae5f-2608bc528f5c	2023-01-23T19:06:08+00:00	1	beads	manual	chl_small	pe						
3c8e5127-03a5-4d9f-ae5f-2608bc528f5c	2023-01-23T19:06:08+00:00	2	synecho	manual	fsc_small	pe						
3c8e5127-03a5-4d9f-ae5f-2608bc528f5c	2023-01-23T19:06:08+00:00	3	croco	manual	chl_small	pe						
3c8e5127-03a5-4d9f-ae5f-2608bc528f5c	2023-01-23T19:06:08+00:00	4	prochloro	manual	fsc_small	chl_small						
3c8e5127-03a5-4d9f-ae5f-2608bc528f5c	2023-01-23T19:06:08+00:00	5	picoeuk	manual	fsc_small	chl_small						
a468dac8-69d4-47f7-a202-108f1b8e79dc	2023-01-25T19:20:29+00:00	1	beads	manual	chl_small	pe						
a468dac8-69d4-47f7-a202-108f1b8e79dc	2023-01-25T19:20:29+00:00	2	synecho	manual	fsc_small	pe						
a468dac8-69d4-47f7-a202-108f1b8e79dc	2023-01-25T19:20:29+00:00	3	croco	manual	chl_small	pe						
a468dac8-69d4-47f7-a202-108f1b8e79dc	2023-01-25T19:20:29+00:00	4	prochloro	manual	fsc_small	chl_small						
a468dac8-69d4-47f7-a202-108f1b8e79dc	2023-01-25T19:20:29+00:00	5	picoeuk	manual	fsc_small	chl_small						
011e9fd5-8e0d-458c-87f0-77063bf7435d	2023-01-30T19:12:58+00:00	1	beads	manual	chl_small	pe						
011e9fd5-8e0d-458c-87f0-77063bf7435d	2023-01-30T19:12:58+00:00	2	synecho	manual	fsc_small	pe						
011e9fd5-8e0d-458c-87f0-77063bf7435d	2023-01-30T19:12:58+00:00	3	croco	manual	chl_small	pe						
011e9fd5-8e0d-458c-87f0-77063bf7435d	2023-01-30T19:12:58+00:00	4	prochloro	manual	fsc_small	chl_small						
011e9fd5-8e0d-458c-87f0-77063bf7435d	2023-01-30T19:12:58+00:00	5	picoeuk	manual	fsc_small	chl_small						
51eee043-3d58-49fc-87b9-05dfa43942a9	2023-01-31T19:02:47+00:00	1	beads	manual	chl_small	pe						
51eee043-3d58-49fc-87b9-05dfa43942a9	2023-01-31T19:02:47+00:00	2	synecho	manual	fsc_small	pe						
51eee043-3d58-49fc-87b9-05dfa43942a9	2023-01-31T19:02:47+00:00	3	croco	manual	pe	chl_small						
51eee043-3d58-49fc-87b9-05dfa43942a9	2023-01-31T19:02:47+00:00	4	prochloro	manual	fsc_small	chl_small						
51eee043-3d58-49fc-87b9-05dfa43942a9	2023-01-31T19:02:47+00:00	5	picoeuk	manual	fsc_small	chl_small						
89ccedc3-3628-4aff-9b49-b612a94fa4c6	2023-02-01T22:50:52+00:00	1	beads	manual	chl_small	pe						
89ccedc3-3628-4aff-9b49-b612a94fa4c6	2023-02-01T22:50:52+00:00	2	synecho	manual	fsc_small	pe						
89ccedc3-3628-4aff-9b49-b612a94fa4c6	2023-02-01T22:50:52+00:00	3	croco	manual	pe	chl_small						
